START,END,SPEAKER,TEXT
00:02:39:61,00:02:39:61,2,Ich übernehme wieder vorne. Ich übernehme sonst wieder Front.
00:02:39:61,00:02:51:00,1,"Wollen wir hier nicht noch kurz nachsehen, Jungs?"
00:02:51:00,00:02:58:36,2,"Ja, ist gut, ja."
00:02:58:36,00:02:58:36,1,Okay. // Tür geradeaus.
00:02:58:36,00:02:58:66,2,Also die Tür? //
00:02:58:66,00:02:58:67,1,Ja.
00:02:58:67,00:02:58:69,3,Gehen Sie raus. Kommen Sie raus. Achtung. Kontakt. (4) Mache ich alleine.
00:02:58:69,00:03:07:16,1,"Gut, geh in den Raum, geh in den Raum, geh in den Raum. Ist gut, hilf ihm kurz, /7 hilf ihm."
00:03:07:16,00:03:07:39,3,"Gut. // Ist gut, ist gut."
00:03:07:39,00:03:07:39,2,Ist gut?
00:03:07:39,00:03:07:39,3,Gut.
00:03:07:39,00:03:16:38,1,"Gut, nächtse Tür, links. SIPO 81 ist dran. Nächste Tür, Jungs. (Funkspruch.) Okay. Okay, erstes Obergeschoss, wir gehen sofort intervenieren."
00:03:29:00,00:03:29:30,3,"Ist gut, sauber."
00:03:29:30,00:03:29:35,1,"Gut, Jungs. Nach vorne zum Treppenhaus. Jetzt müssen wir glaube ich hier links aufstellen. (12) Ihr müsst hier lauter reden, Jungs. Ich verstehe euch nicht."
00:03:55:27,00:03:56:44,3,Okay. (...)
00:03:56:44,00:04:01:00,1,MMM könnte man machen. Gut.
00:04:01:00,00:04:01:00,3,"Ist gut, Achtung. Welche Tür sollen wir?"
00:04:01:00,00:04:01:00,1,"Okay, Tür geradeaus, Tür geradeaus, hier. Nein, hier links meine ich, so. Da, die hier."
00:04:01:00,00:04:01:00,3,Sorry.
00:04:01:00,00:04:01:00,1,Alles gut.
00:04:01:00,00:04:01:00,2,Voila.
00:04:01:00,00:04:01:00,3,"Ein WC, ist gut. Niemand drin. // Gut."
00:04:01:00,00:04:01:00,1,"WC. // Okay, Tür rechts. Tür rechts."
00:04:01:00,00:04:01:00,2,Tür rechts.
00:04:01:00,00:04:01:00,1,"Geradeaus, GERADEAUS GEHT AUF."
00:04:01:00,00:04:01:00,3,"Stehenbleiben. Stehenbleiben, so."
00:04:01:00,00:04:01:00,1,Wo ist Michu? // Wo ist Michu? Wo ist Michu?
00:04:01:00,00:04:01:00,3,Stehenbleiben. Stehenbleiben. //
00:04:01:00,00:04:01:00,1,Wo? // Wo ist der Konferenzraum?
00:04:01:00,00:04:01:00,3,Tür rechts. //
00:04:01:00,00:04:01:00,1,Rechts ist der Konferenzraum.
00:04:01:00,00:04:22:35,2,"Okay, er sagt rechts."
00:04:23:70,00:04:32:07,1,"Also, hier rechts. Mach hier auf zuerst. Mach hier auf zuerst, rechts von dir, ja. Komm etwas zurück, komm etwas zurück, komm etwas zurück. Ja."
00:04:32:07,00:04:32:07,2,"Ja, sorry. // War zu weit vorne."
00:04:32:07,00:04:32:07,1,"Alles gut. // Links halten, // links halten."
00:04:32:07,00:04:32:07,3,"Ist gut, // ist sauber. Wo gehen wir hin?"
00:04:32:07,00:04:32:07,1,"Guzt, okay. Vorne rechts, irgendwo ein Konferenzraum. Siehst du // da etwas rechts?"
00:04:32:07,00:04:32:07,3,Die hier? //
00:04:32:07,00:04:32:07,1,"Okay, geradeaus rein in dem Fall."
00:04:32:07,00:04:32:07,3,Hier ist gut.
00:04:32:07,00:04:32:07,1,"Okay, nächster Raum, rechts."
00:04:32:07,00:04:45:63,2,Nächster Raum.
00:04:45:63,00:05:09:60,3,"KOMMEN SIE RAUS, KOMMEN SIE RAUS. KOMMEN SIE RAUS. (6) Bleiben Sie dort. // Hier ist sauber."
00:05:09:60,00:05:18:11,1,Ich gehe (unv. #00:05:19-0#) //
00:05:18:11,00:05:18:11,2,Ja.
00:05:18:11,00:05:19:01,3,"Ja, rauskommen, rauskommen. Rausgehen. // Ist gut."
00:05:19:01,00:05:19:01,2,Holy shomoly. //
00:05:23:47,00:05:23:47,1,"Gut, // geradeaus die Tür."
00:05:23:47,00:05:23:88,2,Eine Tür geradeaus noch. //
00:05:23:88,00:05:23:92,1,Bleibe kurz zurück.
00:05:23:92,00:05:23:92,2,Ich gehe auf die Seite.
00:05:23:92,00:05:23:92,3,Gehst du auf die Seite? Gut.
00:05:23:92,00:05:23:92,2,"Du kannst rüberkommen, ist schon gut. Komm nur von hier aufmachen."
00:05:40:79,00:05:43:48,2,"MESSER AUF DEN BODEN, MESSER AUF DEN BODEN."
00:05:44:82,00:05:45:05,1,"Gut, ich habe ihn, gut, ich habe ihn."
00:05:45:05,00:05:45:05,2,Gut.
00:05:45:05,00:05:45:07,1,Kann ihm einer das Messer abnehmen und fesseln?
00:05:45:07,00:05:45:07,3,Ja. Sauber.
00:05:45:07,00:05:45:07,1,Pass auf.
00:05:45:07,00:05:45:07,2,Messer ist weg.
00:05:45:07,00:05:45:07,1,Fesseln.
00:05:45:07,00:05:45:07,2,"Fessle ihn. Gut, ist gefesselt."
00:05:45:07,00:05:58:04,1,"Gut. Gut, okay, in dem Raum, Jungs. // Wer hat Rückensicherung da?"
00:05:58:04,00:06:02:92,3,Raum ist gut. //
00:06:02:92,00:06:06:38,3,// Sauber.
00:06:06:38,00:06:09:20,3,"Geh rein, geh rein. //"
00:06:09:20,00:06:09:20,2,Kannst du nachziehen?
00:06:09:20,00:06:09:20,3,Ist gut.
00:06:09:20,00:06:09:20,2,"Ist gut, ist sauber."
00:06:09:20,00:06:09:20,1,"Gut, sauber. Gehen wir noch hier lang."
00:06:13:85,00:06:25:19,2,"Ja, machst du mal Rückmeldung noch? An die Zentrale?"
00:06:25:19,00:06:29:45,3,"Berna Bern, SIPO 81. (...) Wir haben einen Tango, verletzt. Angeschossen. Er ist mit einem Messer auf uns losgegangen. (Funkspruch.) Ja, unbedingt bitte, Berna Bern. Kannst du ihm erste Hilfe leisten?"
00:06:29:45,00:06:30:98,2,Ja.
