START,END,SPEAKER,TEXT
00:00:00:50,00:01:04:55,1,"SIPO 81 dran. (Funkspruch.) Okay, Papierpa/ mühlestrasse 43a, wir gehen vor Ort, mehrere Schussabgaben. Gut, Jungs, das (Fällchen?) fallenlassen. Das (Fällchen?) fallenlassen. (13) Okay. Tür links, Treppenhaus. Okay, wir nehmen Tür Front. Tür Front."
00:01:04:55,00:01:04:55,2,"Tür Front, Tür Front. Noch etwas zur Seite kurz."
00:01:04:55,00:01:04:55,1,"Hinter dir, hinter dir. Nimm rechts. Behalte rechts, behalte rechts. Pointer. (5)"
00:01:04:55,00:01:04:55,3,// Ist gut.
00:01:04:55,00:01:04:55,2,Ich höre // links im Raum Stimmen.
00:01:07:48,00:01:07:81,1,Höre Hilfe. Höre Hilf/ links?
00:01:07:81,00:01:07:83,3,"Ja, links im Raum."
00:01:07:83,00:01:11:23,1,"Links. Ja, Schussabgabe, Schussabgabe. Okay, nächste Tür links, nächtste Tür links."
00:01:11:23,00:01:11:23,3,"Warte, ich komme zur Tür links."
00:01:11:23,00:01:16:86,1,Ich bin bei dir. // Ich bin da.
00:01:16:86,00:01:16:86,2,"Ja, // nicht zu weit nach vorne."
00:01:20:33,00:01:21:16,3,KONTAKT. OSKAR. AUF DEN BODEN. WAFFE AUF DEN BODEN. // WAFFE AUF DEN BODEN. AUF DEN BODEN.
00:01:21:16,00:01:21:16,1,"Gut, halte / halte / // halte / halte die Tür rechts. Halte die Tür rechts."
00:01:21:16,00:01:39:44,3,"Auf den Boden. Achtung. Legen Sie sie auf den Boden. (..) Ja, also ich habe // einen Täter."
00:01:39:44,00:01:39:47,1,Wie sieht es // aus dort drin?
00:01:39:47,00:01:43:94,3,Ein Täter. Ist gut. Muss jemand mit reinkommen.
00:01:43:94,00:01:43:94,2,Ich gehe mit rein Kevin.
00:01:43:94,00:01:43:94,1,"Gehe rein, ja."
00:01:43:94,00:01:43:94,2,Übernimmst du die Tür?
00:01:43:94,00:01:44:00,3,"Gut, ich habe hier eine Waffe."
00:01:44:00,00:01:44:00,1,"Habe die Tür. Nein, nein, hierbleiben, hierbleiben. // GEH AUF DEN BODEN, GEH AUF DEN BODEN."
00:01:44:00,00:01:45:37,3,"Rausgehen, rausgehen. //"
00:01:45:37,00:01:45:37,1,Was willst du rausgehen? Das ist O/ // das ist ein Tango.
00:01:45:37,00:01:45:37,3,"Kommen Sie nach vorne. // Kommen Sie nach vorne. Raus, raus. Rausgehen, schnell. (...) Also, wir haben einen Täter, der obendran ist. Ich gehe hier links."
00:01:45:37,00:01:45:37,2,"Ja, ist gut. Ich gehe nach vorne. Hände hoch."
00:01:45:37,00:01:45:37,3,"Hier ist sauber, links. Rausgehen, rausgehen."
00:01:45:37,00:01:45:37,2,"Ja, ich gehe ihn fesseln Kevin."
00:01:45:37,00:01:45:37,3,Gut.
00:01:45:37,00:01:45:37,2,Ich gehe zu ihm hin.
00:01:45:37,00:01:45:37,1,"Ist gut, ich habe hier den Gang."
00:01:45:37,00:01:45:37,3,// Kommen Sie raus.
00:01:45:37,00:01:45:37,2,"Ist gut, ist gefesselt. //"
00:01:45:37,00:02:39:61,3,Kommen Sie raus. Raus. Raus. Gehen Sie raus.
00:02:39:61,00:02:39:61,1,Habt ihr /
00:02:39:61,00:02:39:61,2,Einer mit einem Messer.
00:02:39:61,00:02:39:61,1,Michu mit Messer. Eins höher oder? Hat es geheissen?
00:02:39:61,00:02:39:61,2,Ja. Ein Stock höher. Durchs Treppenhaus vorne.
00:02:39:61,00:02:39:61,1,Okay.
